priority,ticker,company,asset_type,bfs_role,current_universe_status,why_it_matters,primary_sources_to_find,metrics_to_verify,upgrade_signal,downgrade_signal,notes
P0,CRWV,CoreWeave,NeoCloud / GPUaaS,D1-D4 credit risk,in universe,"GPU租赁、AI cloud backlog、重资产融资是 AI infra 信用风险核心样本","10-K/10-Q or registration filings; earnings release; debt filings; customer contract disclosure; investor presentation","revenue backlog quality; debt maturity; interest expense; lease liabilities; capex commitments; customer concentration; GPU depreciation/useful life; operating cash flow","backlog has strong take-or-pay/prepayment terms, utilization high, interest coverage improving, debt maturity manageable","backlog not cash-backed, customer concentration high, interest expense/depreciation outrun gross profit, GPU residual assumptions weaken","pending original-source verification"
P0,NBIS,Nebius,NeoCloud / AI cloud,D1-D4 credit risk,in universe,"欧洲/全球 AI cloud 扩张样本，融资和利用率决定是否是真平台还是重资产周期","annual report; quarterly results; investor presentation; debt/lease disclosure; customer and capacity announcements","AI cloud revenue; capex; debt; lease liabilities; utilization; customer quality; power secured; cash burn","secured customers and power convert into revenue with manageable leverage","capex and debt rise faster than revenue; customer quality/utilization unclear","pending original-source verification"
P0,ORCL,Oracle,Hyperscaler / AI cloud,D1 credit risk,in universe,"大型云厂商里 AI infra capex、租赁和债务压力较突出，能代表 hyperscaler 信用扩张边界","10-K/10-Q; earnings release; earnings call; debt footnotes; capex/depreciation disclosure","cloud infrastructure revenue; RPO/backlog; capex; debt; remaining performance obligations; depreciation; operating cash flow","AI cloud demand converts to RPO/revenue while FCF and credit metrics remain resilient","AI capex/depreciation/debt pressure outruns cloud margin expansion","pending original-source verification"
P0,APLD,Applied Digital,AI data center developer,D1-D4 credit risk,in universe,"AI 数据中心开发商样本，项目融资、客户合同和施工交付是核心风险","10-K/10-Q; project financing filings; customer contract announcements; investor presentation","project financing; customer contracts; construction milestones; capex; debt maturity; interest expense; cash runway","signed customers and financing align with project delivery and cash collection","construction delays, financing gaps, customer concentration, dilution/debt pressure","pending original-source verification"
P0,IREN,IREN,Powered land / AI cloud transition,D1-D4 credit risk,in universe,"BTC mining 转 AI DC 的典型样本，需要区分 power asset 和 crypto beta","annual report; quarterly results; AI cloud contracts; debt/lease filings; power asset disclosure","AI cloud revenue; BTC revenue mix; power capacity; customer contracts; capex; debt; GPU utilization","AI contracts and power capacity produce non-BTC recurring revenue with controlled leverage","BTC cycle dominates; AI contracts weak; financing or execution risk rises","pending original-source verification"
P0,CORZ,Core Scientific,AI hosting / power campuses,D1-D4 credit risk,in universe,"破产重组后转 AI hosting/power campuses，信用结构本身就是研究重点","10-K/10-Q; restructuring/debt filings; customer contracts; hosting agreements; investor presentation","hosting backlog; customer concentration; debt; lease obligations; power campuses; capex; FCF","long-term customer contracts and improved balance sheet support AI hosting conversion","debt/capex pressure returns; customer concentration; BTC economics dominate","pending original-source verification"
P1,WULF,TeraWulf,Powered data center / HPC transition,D1-D4 credit risk,in universe,"powered land + BTC/HPC transition样本，适合观察融资和电力资产价值","10-K/10-Q; power contract disclosure; AI/HPC customer announcements; debt filings","power capacity; AI/HPC contracts; BTC exposure; debt maturity; capex; cash burn","firm AI/HPC contracts validate power asset conversion","BTC exposure dominates; AI customers unproven; financing gap","pending original-source verification"
P1,9698.HK / GDS,GDS,IDC / AI data center,D1-D4 credit risk,in universe,"中国/亚洲 IDC 重资产样本，融资成本、利用率和客户结构是核心","annual report; interim report; debt maturity disclosure; utilization and pre-lease disclosure","net debt; interest expense; utilization; customer concentration; capex; occupancy; maturity wall","AI/data center demand improves utilization and cash flow while leverage stabilizes","debt maturity, low utilization, refinancing cost or customer churn pressure","pending original-source verification"
P1,3896.HK / KC,Kingsoft Cloud,Cloud / AI cloud,D1-D4 credit risk,in universe,"云服务亏损/毛利修复样本，适合验证 AI cloud 是否改善现金流","annual report; quarterly results; debt/cash flow disclosures; customer disclosures","AI/cloud revenue; gross margin; operating cash flow; debt/cash; customer concentration","AI demand improves margin and cash burn without aggressive leverage","losses persist; AI revenue not separable; financing or competition pressure","pending original-source verification"
P1,EQIX,Equinix,Data center REIT / colo,D2-D4 benchmark,not in universe,"全球 colo benchmark，用于对比 NeoCloud/IDC 的成熟资产现金流和杠杆","10-K/10-Q; supplemental package; debt maturity schedule; leasing metrics","AFFO; net debt/EBITDA; occupancy; bookings; capex; interconnection revenue; debt maturity","AI/colo demand improves bookings while leverage and AFFO remain healthy","capex rises, occupancy/margins weaken, debt costs pressure AFFO","gap candidate"
