rank,priority,cluster,ticker,company,bfs_depth,module,current_pool,mcap_bucket,total_score,score_bucket,why_it_matters,primary_questions,sources_to_find,upgrade_conditions,downgrade_conditions,existing_evidence_card,evidence_state,counterevidence
1,P0_us_alpha,optics_connectivity,COHR,Coherent,D2-D3,800G/1.6T optics + lasers,候选/核心候选,Large 20-100B,100,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/batch1/014-COHR-Coherent.md,"待原文核验: datacom AI mix, customer concentration",价格战、客户集中、CPO延后/路线切换
2,P0_us_alpha,optics_connectivity,FN,Fabrinet,D2-D3,Optical manufacturing,候选池,Large 20-100B,96,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/batch1/026-FN-Fabrinet.md,待原文核验: datacom mix/customer risk,低毛利代工、客户集中、库存
3,P0_us_alpha,power_thermal,MOD,Modine,D2-D3,Thermal management,候选池,Mid 5-20B,96,core_review,AI data centers are constrained by power delivery and heat removal; this bucket tests time-to-power bottlenecks.,How much backlog/revenue is data-center related? Are lead times tight? Does gross margin improve with AI demand?,10-K/10-Q; earnings release; backlog/order disclosures; investor presentation; product pages.,"Backlog, book-to-bill, data center mix, lead time, and margin all improve from AI/DC demand.","Orders are pulled forward, data centers slip, cooling/power products commoditize, or customer pricing pressure rises.",evidence/batch1/027-MOD-Modine.md,待原文核验: DC mix/margins,冷却标准化、价格战、非AI业务混杂
4,P0_us_alpha,ip_storage_eda,RMBS,Rambus,D3,Memory interface IP,候选池,Mid/Large 待刷新,96,core_review,"AI ASIC, memory bandwidth, and data pipelines can create value in IP, EDA, and storage layers.","Is the revenue connected to AI chips, HBM/CXL/DDR, enterprise AI storage, or just generic tech spend?",10-K/10-Q; earnings release; investor presentation; product roadmap; customer/design-win commentary.,"Original sources show AI/HPC design wins, royalties, enterprise AI storage demand, or memory-interface pull-through.","Exposure is generic software/storage/EDA beta, customer ROI is weak, or revenue timing is one-off.",evidence/batch1/028-RMBS-Rambus.md,待原文核验,IP attach率、客户内化
5,P0_us_alpha,optics_connectivity,ALAB,Astera Labs,D3,PCIe/CXL retimer + connectivity,候选池,Large 20-100B,93,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/005-ALAB-Astera-Labs.md,待原文核验: AI platform mix/customer concentration,客户集中、attach rate、标准变化
6,P0_us_alpha,optics_connectivity,CRDO,Credo,D3,AEC/SerDes/connectivity,候选池,Large 20-100B,93,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/006-CRDO-Credo.md,待原文核验: hyperscaler concentration and revenue mix,客户集中、铜/光路线变化、ASP下行
7,P0_us_alpha,test_metrology,FORM,FormFactor,D3,Probe card,候选池,Mid 5-20B,93,core_review,"AI accelerators, HBM, and advanced packaging raise test, probe, and inspection complexity.",Is growth tied to HBM/GPU/advanced packaging rather than broad semi beta? Are orders and margins improving?,10-K/10-Q; earnings release; investor presentation; product/application pages; customer segment commentary.,"Company filings tie revenue/orders to HBM, AI accelerators, advanced packaging, or high-complexity probe/test.","Revenue is broad WFE/test cycle recovery with no AI/HBM mix disclosure, or test time declines.",evidence/us_alpha/007-FORM-FormFactor.md,待原文核验: HBM/GPU mix,泛测试beta、订单周期
8,P0_us_alpha,optics_connectivity,LITE,Lumentum,D2-D3,Lasers/datacom optics,候选池,~100B boundary 待刷新,93,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/008-LITE-Lumentum.md,待原文核验: AI datacom revenue/customer qualification,光模块价格战、客户集中、capex cycle
9,P0_us_alpha,optics_connectivity,MTSI,MACOM,D3,RF/photonic components,候选池,Large 20-100B,93,core_review,AI clusters need more east-west bandwidth; this bucket tests whether optics/connectivity suppliers capture D2-D3 value.,What share of revenue is datacenter/AI? Are 800G/1.6T/CPO/AEC products qualified and ramping? Is margin rising despite price pressure?,10-K/10-Q; latest earnings release; investor presentation; product qualification pages; customer/hyperscaler references.,"Original sources show AI datacenter mix, qualified products, durable customer demand, and margin support.","Revenue is telecom recovery, one-customer ramp, ASP compression, or CPO timing slips.",evidence/us_alpha/009-MTSI-MACOM.md,待原文核验,AI暴露分散、周期混杂
10,P0_us_alpha,test_metrology,ONTO,Onto Innovation,D3,Metrology / inspection,候选池,Large 20-100B,93,core_review,"AI accelerators, HBM, and advanced packaging raise test, probe, and inspection complexity.",Is growth tied to HBM/GPU/advanced packaging rather than broad semi beta? Are orders and margins improving?,10-K/10-Q; earnings release; investor presentation; product/application pages; customer segment commentary.,"Company filings tie revenue/orders to HBM, AI accelerators, advanced packaging, or high-complexity probe/test.","Revenue is broad WFE/test cycle recovery with no AI/HBM mix disclosure, or test time declines.",evidence/us_alpha/010-ONTO-Onto-Innovation.md,待原文核验,WFE周期、客户capex
11,P0_us_alpha,ip_storage_eda,PSTG,Pure Storage,D3,AI storage systems,候选池,Large 20-100B,93,core_review,"AI ASIC, memory bandwidth, and data pipelines can create value in IP, EDA, and storage layers.","Is the revenue connected to AI chips, HBM/CXL/DDR, enterprise AI storage, or just generic tech spend?",10-K/10-Q; earnings release; investor presentation; product roadmap; customer/design-win commentary.,"Original sources show AI/HPC design wins, royalties, enterprise AI storage demand, or memory-interface pull-through.","Exposure is generic software/storage/EDA beta, customer ROI is weak, or revenue timing is one-off.",evidence/us_alpha/011-PSTG-Pure-Storage.md,待原文核验: AI customer/AI storage revenue；ticker/公司名以交易所主数据刷新,软件/存储周期混杂、客户ROI
