priority,ticker,company,asset_type,bfs_role,current_universe_status,why_it_matters,primary_sources_to_find,metrics_to_verify,upgrade_signal,downgrade_signal,notes
P0,CEG,Constellation Energy,nuclear power / 24-7 clean power,D5 firm power,not in universe,"美国核电与数据中心 PPA 最直接候选之一，用来验证 AI DC 是否推动核电资产重估","10-K/10-Q; investor presentation; PPA/customer announcements; nuclear fleet disclosures; FERC/regulatory filings","nuclear generation; contracted power; data center/customer PPAs; capacity factor; power prices; capex; license extensions","data center contracts or PPAs clearly improve long-term revenue visibility","no AI/data center contract evidence; power price or regulatory risk dominates","gap candidate"
P0,VST,Vistra,merchant power / nuclear / gas,D5 firm power,not in universe,"merchant power + nuclear/gas exposure，适合观察 AI load 对电价和 firm power 的传导","10-K/10-Q; investor presentation; generation mix; customer/PPA announcements","nuclear/gas generation; hedge book; power prices; data center exposure; FCF; capital returns","AI load supports power price/contracts and cash flow durability","commodity power beta dominates; no data center linkage; regulatory/capacity market risk","gap candidate"
P0,TLN,Talen Energy,nuclear + data center campus,D5 firm power,not in universe,"nuclear-adjacent data center power narrative代表，需核验合同、监管和项目可行性","10-K/10-Q; investor presentation; data center campus/PPA disclosures; regulatory filings","nuclear plant output; data center contract terms; interconnect; regulatory approvals; debt; FCF","contracted AI/data center load with regulatory path and visible cash flow","project blocked/delayed; contract economics weak; debt/refinancing pressure","gap candidate"
P0,GEV,GE Vernova,gas turbines / grid,D4-D5 firm power,in universe,"燃气轮机和电网设备是 AI DC 更近端 firm power 约束","10-K/10-Q; earnings release; backlog disclosures; gas power and grid segment reports","gas turbine backlog; grid backlog; data center customer exposure; margin; lead times","data center/grid demand raises backlog and margin with long lead times","non-AI utility cycle dominates; project delays or margin pressure","pending original-source verification"
P0,LEU,Centrus Energy,nuclear fuel / HALEU,D4-D5 nuclear fuel,in universe,"HALEU/核燃料是先进核能远端约束，但距离 AI DC 很远","10-K/10-Q; DOE contracts; HALEU milestones; regulatory filings; customer contracts","HALEU production milestones; contract backlog; DOE funding; cash burn; licensing","contracted HALEU milestones and funding support advanced nuclear supply chain","regulatory/project delays; cash burn; AI linkage remains indirect","pending original-source verification"
P0,CCJ,Cameco,uranium / nuclear fuel,D4-D5 uranium,in universe,"铀和核燃料供给链代表，但要防止只是 commodity beta","annual report; quarterly results; contract book; production guidance; uranium market disclosures","contracted volumes; realized price; production; long-term contracts; fuel services exposure","long-term contract book and nuclear demand strengthen structural supply story","spot uranium commodity cycle dominates; AI/data center linkage too indirect","pending original-source verification"
P1,NRG,NRG Energy,power producer / retail,D5 firm power,not in universe,"美国电力负荷增长和数据中心需求的电力零售/发电观察对象","10-K/10-Q; investor presentation; generation/retail disclosures; data center/customer announcements","generation mix; load growth; retail margins; data center exposure; FCF; debt","data center load improves contract/retail economics with visible cash flow","consumer/retail power risk dominates; AI linkage weak","gap candidate"
P1,OKLO,Oklo,advanced nuclear / SMR,D5 long-duration nuclear option,not in universe,"SMR/advanced nuclear 叙事代表，必须严查 licensing、cash runway 和客户协议","SEC filings; investor presentation; NRC/licensing updates; customer LOIs/contracts","licensing milestones; project timeline; customer agreements; cash runway; capex needs","licensed project with credible customer/offtake and funded timeline","pre-revenue narrative, licensing delay, financing dilution, no near-term AI power relevance","gap candidate"
P1,SMR,NuScale Power,SMR,D5 long-duration nuclear option,not in universe,"上市 SMR 代表，适合验证 SMR 是否可在 AI infra 时间尺度内贡献供电","10-K/10-Q; NRC/regulatory updates; project/customer disclosures; cash runway","licensing status; project pipeline; customer commitments; cash burn; technology milestones","credible near-term project and customer economics emerge","project cancellations/delays, cash burn, weak customer commitments","gap candidate"
P1,BWXT,BWX Technologies,nuclear components / services,D5 nuclear supply chain,not in universe,"核供应链和组件服务，比纯 SMR 叙事更接近实际订单","10-K/10-Q; segment disclosures; backlog; nuclear services contracts","nuclear operations backlog; commercial nuclear exposure; government mix; margin; capacity","commercial nuclear/SMR components show backlog growth tied to capacity additions","government/defense dominates; AI/data center linkage indirect","gap candidate"
