ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,evidence_state,counterevidence
002463.SZ,沪电股份,A股主板,中国资产池,D3,AI server PCB/high-speed board,核心候选,100,core_review,待原文核验: AI/server PCB mix,消费/汽车PCB混杂、ASP下行
002837.SZ,英维克,A股主板,中国资产池,D2-D3,Data center cooling/liquid cooling,候选/核心候选,100,core_review,待原文核验,液冷渗透率、ASP、竞争
601138.SH,工业富联,A股主板,中国资产池,D2,AI server/rack manufacturing,候选/核心候选,100,core_review,待原文核验: AI server revenue/margins/customer concentration,低毛利组装、库存、客户集中
000988.SZ,华工科技,A股主板,中国资产池,D2-D3,Optics/laser/equipment,候选池,99,core_review,待原文核验,AI datacom占比待拆
0522.HK,ASMPT,H股,中国资产池,D3,Packaging equipment / TCB,核心候选,98,core_review,待原文核验,订单周期、HBM技术路线变化
002281.SZ,光迅科技,A股主板,中国资产池,D2-D3,Optical modules/components,候选池,96,core_review,待原文核验,电信周期混杂、海外客户/毛利
000063.SZ / 0763.HK,中兴通讯,A股主板/H股,中国资产池,D2-D3,Networking/telecom/DC equipment,候选/雷达池,95,core_review,待原文核验,AI DC专用度弱、出口限制
000938.SZ,紫光股份,A股主板,中国资产池,D2-D3,Network/server/cloud infra,候选/雷达池,95,core_review,待原文核验,AI专用度不清、低毛利
002916.SZ,深南电路,A股主板,中国资产池,D3,PCB / substrate / packaging support,候选池,93,core_review,待原文核验,通信周期混杂、AI占比不清
600183.SH,生益科技,A股主板,中国资产池,D3,CCL / high-speed materials,候选池,93,core_review,待原文核验,材料价格周期、AI规格占比
600584.SH,长电科技,A股主板,中国资产池,D3,OSAT / advanced packaging,候选池,93,core_review,待原文核验,AI封装占比不清、周期/毛利
000977.SZ,浪潮信息,A股主板,中国资产池,D2,AI server OEM,候选池,92,core_review,待原文核验,供应链限制、毛利率、国内需求周期
002185.SZ,华天科技,A股主板,中国资产池,D3,OSAT,雷达/候选池,92,core_review,待原文核验,AI高端封装证据弱
002436.SZ,兴森科技,A股主板,中国资产池,D3,IC substrate/PCB,雷达/候选池,92,core_review,待原文核验,产能爬坡、良率、客户认证
0992.HK,联想集团,H股,中国资产池,D2,AI server/OEM,候选池,92,core_review,待原文核验,低毛利、客户集中、库存
603228.SH,景旺电子,A股主板,中国资产池,D3,PCB,雷达/候选池,92,core_review,待原文核验,AI相关性待拆分
002156.SZ,通富微电,A股主板,中国资产池,D3,OSAT,候选池,90,core_review,待原文核验,客户集中、封测周期
603083.SH,剑桥科技,A股主板,中国资产池,D2-D3,Optical modules,候选/雷达池,89,core_review,待原文核验,客户集中、价格战、订单波动
002384.SZ,东山精密,A股主板,中国资产池,D3,PCB/precision components,雷达池,87,core_review,待原文核验,消费电子混杂、AI纯度弱
002913.SZ,奥士康,A股主板,中国资产池,D3,PCB,雷达池,87,core_review,待原文核验,客户/AI占比弱
002335.SZ,科华数据,A股主板,中国资产池,D2-D4,UPS/IDC/power,候选/雷达池,79,high_priority,待原文核验,AI占比不清、IDC财务压力
002518.SZ,科士达,A股主板,中国资产池,D2-D4,UPS/power electronics,候选/雷达池,79,high_priority,待原文核验,新能源业务混杂、价格竞争
000021.SZ,深科技,A股主板,中国资产池,D3-D4,EMS/storage packaging/test,雷达池,73,high_priority,待原文核验,AI证据弱、低毛利
3896.HK / KC,金山云,H股/ADR,中国资产池,D1-D4,Cloud / AI cloud,雷达池,70,high_priority,待原文核验,亏损/毛利、竞争
