ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,evidence_state,counterevidence
002463.SZ,沪电股份,A股主板,中国资产池,D3,AI server PCB/high-speed board,核心候选,100,core_review,待原文核验: AI/server PCB mix,消费/汽车PCB混杂、ASP下行
002837.SZ,英维克,A股主板,中国资产池,D2-D3,Data center cooling/liquid cooling,候选/核心候选,100,core_review,待原文核验,液冷渗透率、ASP、竞争
601138.SH,工业富联,A股主板,中国资产池,D2,AI server/rack manufacturing,候选/核心候选,100,core_review,待原文核验: AI server revenue/margins/customer concentration,低毛利组装、库存、客户集中
000660.KS,SK hynix,韩国,卫星资产池,D2,HBM/DRAM,核心池,100,core_review,"待原文核验: HBM revenue, capacity, margins",HBM供给扩张、Samsung/Micron竞争
2308.TW,Delta Electronics,台湾,卫星资产池,D2-D3,Power supply + thermal,核心候选,100,core_review,待原文核验,业务多元，AI占比需拆
2330.TW / TSM,TSMC,台湾,卫星资产池,D2,Leading-edge foundry + CoWoS,核心池,100,core_review,原文已证明: quarterly results线索; AI/HPC detail需核验,地缘、客户集中、CoWoS扩产后定价
3037.TW,Unimicron,台湾,卫星资产池,D3,ABF substrate / PCB,核心候选,100,core_review,待原文核验,"ABF cycle, pricing"
3661.TW,Alchip,台湾,卫星资产池,D3,ASIC design service,核心候选,100,core_review,待原文核验: customer concentration/tape-outs,客户集中、project delay
4062.T,Ibiden,日本,卫星资产池,D3,ABF substrate,核心候选,100,core_review,待原文核验,ABF周期、CoWoS瓶颈转移
6146.T,DISCO,日本,卫星资产池,D3,Dicing/grinding/thinning,核心候选,100,core_review,待原文核验,订单周期、工艺替代
6315.T,TOWA,日本,卫星资产池,D3,Molding/advanced packaging equipment,核心候选,100,core_review,待原文核验,HBM技术路线变化、订单集中
6857.T,Advantest,日本,卫星资产池,D3,ATE / memory & SoC test,核心候选,100,core_review,待原文核验: AI tester mix,测试订单周期、需求提前透支
BESI.AS,BE Semiconductor Industries,欧洲,卫星资产池,D3,Hybrid bonding / advanced packaging equipment,核心候选,100,core_review,待原文核验,订单时点、路线切换
COHR,Coherent,US,美国资产池,D2-D3,800G/1.6T optics + lasers,候选/核心候选,100,core_review,"待原文核验: datacom AI mix, customer concentration",价格战、客户集中、CPO延后/路线切换
VRT,Vertiv,US,美国资产池,D2,AI data center power/thermal,核心池,100,core_review,待原文核验: data center order/backlog/margins,订单透支、冷却ASP下行、DC延期
000988.SZ,华工科技,A股主板,中国资产池,D2-D3,Optics/laser/equipment,候选池,99,core_review,待原文核验,AI datacom占比待拆
3711.TW / ASX,ASE Technology,台湾,卫星资产池,D2-D3,OSAT / advanced packaging,候选池,99,core_review,待原文核验,OSAT毛利、先进封装占比
AVGO,Broadcom,US,美国资产池,D1-D2,Custom ASIC + networking + CPO,核心池,99,core_review,合理推论+待原文核验: ASIC/CPO客户与收入拆分需公司原文,单客户集中、ASIC项目取消、网络价格竞争
0522.HK,ASMPT,H股,中国资产池,D3,Packaging equipment / TCB,核心候选,98,core_review,待原文核验,订单周期、HBM技术路线变化
042700.KQ,Hanmi Semiconductor,韩国,卫星资产池,D3,HBM bonding equipment,核心候选,98,core_review,待原文核验,客户集中、技术路线切换
CAMT,Camtek,以色列/US,卫星资产池,D3,Advanced packaging inspection,核心候选,98,core_review,待原文核验,订单周期、客户集中、估值
SUSS.DE,SÜSS MicroTec,欧洲,卫星资产池,D3,Advanced packaging tools,核心候选,98,core_review,待原文核验,订单周期、客户集中
