ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,evidence_state,counterevidence
000063.SZ / 0763.HK,中兴通讯,A股主板/H股,中国资产池,D2-D3,Networking/telecom/DC equipment,候选/雷达池,95,core_review,待原文核验,AI DC专用度弱、出口限制
000938.SZ,紫光股份,A股主板,中国资产池,D2-D3,Network/server/cloud infra,候选/雷达池,95,core_review,待原文核验,AI专用度不清、低毛利
002185.SZ,华天科技,A股主板,中国资产池,D3,OSAT,雷达/候选池,92,core_review,待原文核验,AI高端封装证据弱
002436.SZ,兴森科技,A股主板,中国资产池,D3,IC substrate/PCB,雷达/候选池,92,core_review,待原文核验,产能爬坡、良率、客户认证
603228.SH,景旺电子,A股主板,中国资产池,D3,PCB,雷达/候选池,92,core_review,待原文核验,AI相关性待拆分
2301.TW,Lite-On,台湾,卫星资产池,D3,Power supply / optoelectronics,候选/雷达池,92,core_review,待原文核验,AI占比、价格竞争
MTRS.ST,Munters,欧洲,卫星资产池,D3,Thermal management,候选/雷达池,92,core_review,待原文核验,AI占比/竞争
SMTC,Semtech,US,美国资产池,D3,Signal integrity / optical DSP adjacent,雷达/候选池,92,core_review,待原文核验,非AI业务拖累、路线替代
SU.PA,Schneider Electric,欧洲,卫星资产池,D2-D4,Data center electrical equipment,核心池,91,core_review,待原文核验,AI占比、订单透支、估值
603083.SH,剑桥科技,A股主板,中国资产池,D2-D3,Optical modules,候选/雷达池,89,core_review,待原文核验,客户集中、价格战、订单波动
131290.KQ,TSE,韩国,卫星资产池,D3,Probe/test interface,雷达/候选池,89,core_review,待原文核验,AI证据弱、周期
3189.TW,Kinsus,台湾,卫星资产池,D3,Substrate,雷达/候选池,89,core_review,待原文核验,良率/客户/周期
AAOI,Applied Optoelectronics,US,美国资产池,D2-D3,Datacom optical modules,候选/雷达池,89,core_review,待原文核验: customer wins and margins,毛利率、客户集中、价格战、执行风险
002384.SZ,东山精密,A股主板,中国资产池,D3,PCB/precision components,雷达池,87,core_review,待原文核验,消费电子混杂、AI纯度弱
