rank,priority_tier,ticker,company,market_country,asset_pool,bfs_depth,module,current_pool,total_score,score_bucket,verification_status,source_priority,primary_sources_to_find,metrics_to_verify,upgrade_conditions,downgrade_conditions,evidence_state,counterevidence,dependency_path,dependency_edge,etf_clue,smart_money_clue
1,P0_first_batch,002463.SZ,沪电股份,A股主板,中国资产池,D3,AI server PCB/high-speed board,核心候选,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验: AI/server PCB mix,消费/汽车PCB混杂、ASP下行,AI rack/networking → high-layer PCB → ASP/margin upgrade,BOM边+技术边,A股电子/PCB ETF待查,公募/北向
2,P0_first_batch,002837.SZ,英维克,A股主板,中国资产池,D2-D3,Data center cooling/liquid cooling,候选/核心候选,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验,液冷渗透率、ASP、竞争,AI rack heat density → liquid cooling/CDU/thermal → revenue,客户边+技术边,A股数据中心/新能源ETF,公募/北向
3,P0_first_batch,601138.SH,工业富联,A股主板,中国资产池,D2,AI server/rack manufacturing,候选/核心候选,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / customer concentration note / inventory and margin disclosure,AI server revenue; rack-scale shipment; inventory; gross margin; customer concentration; liquid-cooled rack mix,"AI server/rack revenue and margins are disclosed, backlog converts to revenue, and inventory risk is controlled.","Revenue grows but margin compresses, inventory rises, or business remains low-margin assembly without bottleneck power.",待原文核验: AI server revenue/margins/customer concentration,低毛利组装、库存、客户集中,GPU allocation → AI server/rack integration → shipment/revenue,客户边+BOM边+现金流边,中国/台湾/AI server ETFs待查,陆股通/主动基金/ETF持仓待查
17,P0_first_batch,000988.SZ,华工科技,A股主板,中国资产池,D2-D3,Optics/laser/equipment,候选池,99,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,AI datacom占比待拆,AI DC optics + industrial lasers → optical module/component demand,BOM边+技术边,A股通信/激光ETF,公募/北向
20,P0_first_batch,0522.HK,ASMPT,H股,中国资产池,D3,Packaging equipment / TCB,核心候选,98,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / presentation / capacity expansion announcement / product page,AI/HPC advanced packaging revenue; backlog/orders; capacity; substrate layer/spec upgrade; gross margin,"Original sources tie orders/revenue to HBM, CoWoS, AI server, advanced package, ABF, or high-speed PCB demand.",Revenue is mainly consumer/auto/legacy PCB or broad semi beta with no AI/HPC customer evidence.,待原文核验,订单周期、HBM技术路线变化,HBM/advanced packaging → TCB/assembly equipment → orders,产能边+技术边,HK/semis equipment ETFs待查,港股通/主动基金
24,P0_first_batch,002281.SZ,光迅科技,A股主板,中国资产池,D2-D3,Optical modules/components,候选池,96,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,电信周期混杂、海外客户/毛利,AI cluster → 800G/1.6T optics → optical revenue,BOM边+客户边,A股通信/光模块ETF,公募/北向
29,P0_first_batch,000063.SZ / 0763.HK,中兴通讯,A股主板/H股,中国资产池,D2-D3,Networking/telecom/DC equipment,候选/雷达池,95,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,AI DC专用度弱、出口限制,AI DC/network demand → switch/optics/telecom equipment → revenue,客户边+技术边,A/H科技通信ETF,A/H重复上市；公募/港股通
30,P0_first_batch,000938.SZ,紫光股份,A股主板,中国资产池,D2-D3,Network/server/cloud infra,候选/雷达池,95,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.",待原文核验,AI专用度不清、低毛利,AI DC buildout → networking/server/integration → revenue,客户边+技术边,A股计算机/通信ETF,公募/北向待查
14,P0_first_batch,COHR,Coherent,US,美国资产池,D2-D3,800G/1.6T optics + lasers,候选/核心候选,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / product qualification note / customer or hyperscaler reference,datacom AI mix; 800G/1.6T shipments; CPO/SiPh roadmap; customer concentration; ASP/gross margin,"Company filings show AI datacenter/datacom growth, qualified 800G/1.6T or CPO products, and margin durability.","Growth is telecom cycle or one customer ramp, ASP declines dominate, or CPO timing is pushed out.","待原文核验: datacom AI mix, customer concentration",价格战、客户集中、CPO延后/路线切换,AI cluster scale-out → optical modules/lasers → datacom revenue,客户边+BOM边+技术边,SMH? AI/semis/optics ETFs待查,13F小中盘/AI optics discovery
15,P0_first_batch,NVDA,NVIDIA,US,美国资产池,D1,GPU/CUDA + networking + rack-scale systems,核心池,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center compute revenue; accelerator roadmap; networking/rack-scale systems; supply constraints; gross margin; customer concentration,"Original sources prove sustained AI compute demand, platform pull-through, and supply-chain transmission into D2/D3.","Growth slows, supply constraints ease into oversupply, margins compress, or workload shifts weaken the platform moat.",原文已证明: data center segment strong; 具体客户/平台仍逐项核验,ASIC替代、毛利率下行、客户CapEx放缓、出口管制,OpenAI/Anthropic/Gemini token demand → GPU cluster → HBM/CoWoS/networking/rack,客户边+BOM边+技术边+现金流边,SMH/SOXX/XLK/QQQ/VGT/AIQ,13F核心大盘；期权流动性强；被动权重大
16,P0_first_batch,VRT,Vertiv,US,美国资产池,D2,AI data center power/thermal,核心池,100,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",annual report / quarterly results / backlog/orders / investor presentation / product page,data center orders; backlog; book-to-bill; liquid cooling attach; margin; lead time; capacity expansion,"Original sources prove data-center AI demand, long lead-time constraints, backlog growth, and margin expansion.","Orders are pulled forward, projects delayed, customer pricing pressure rises, or grid permission is the real bottleneck.",待原文核验: data center order/backlog/margins,订单透支、冷却ASP下行、DC延期,AI rack kW rises → UPS/PDU/thermal/liquid cooling → backlog/margins,客户边+产能边+现金流边,GRID/industrial/AI infra ETFs,13F工业AI主题
19,P0_first_batch,AVGO,Broadcom,US,美国资产池,D1-D2,Custom ASIC + networking + CPO,核心池,99,core_review,pending_original_source_verification,"Find latest annual report, latest quarterly results, earnings call transcript, investor presentation, and official product/capacity pages first.",10-K/20-F / quarterly results / earnings call / investor presentation / product roadmap,data center revenue; custom silicon revenue; design wins; NRE vs mass production; IP royalty; customer concentration,Original sources prove sustained AI compute or ASIC demand and supply-chain pull-through to D2/D3.,"Revenue is concentrated, one-off NRE, software moat blocks adoption, or customer disclosures are too thin.",合理推论+待原文核验: ASIC/CPO客户与收入拆分需公司原文,单客户集中、ASIC项目取消、网络价格竞争,Hyperscaler custom ASIC demand → SerDes/switch/CPO → AI cluster fabric,客户边+技术边+BOM边,SMH/SOXX/AIQ/XLK/QQQ,13F大盘+AI硬件主题覆盖
