task_id,priority,theme,region_bucket,seed_ticker,seed_company,market_country,asset_pool,bfs_depth,module,current_pool,source_targets,extraction_keywords,expansion_goal,agent_prompt
DISC-0026,P0_expand_now,advanced_packaging_substrate,US,KLA,KLA,US,美国资产池,D3-D4,Inspection/metrology,核心beta/候选,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: KLA KLA. Module: Inspection/metrology. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0145,P0_expand_now,advanced_packaging_substrate,US,NVMI,Nova,以色列/US,卫星资产池,D3,Metrology,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: NVMI Nova. Module: Metrology. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0025,P0_expand_now,advanced_packaging_substrate,US,ONTO,Onto Innovation,US,美国资产池,D3,Metrology / inspection,候选池,"annual report, packaging capacity notes, substrate capacity, equipment orders, customer cross-disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; CoWoS; 2.5D; hybrid bonding; TCB; ABF; interposer; substrate,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: ONTO Onto Innovation. Module: Metrology / inspection. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0003,P0_expand_now,compute_gpu_asic,US,AMD,AMD,US,美国资产池,D1,GPU/CPU AI compute,核心/候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: AMD AMD. Module: GPU/CPU AI compute. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0006,P0_expand_now,compute_gpu_asic,US,AMZN,Amazon,US,美国资产池,D0-D1,AWS + Trainium + Anthropic,核心beta,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: AMZN Amazon. Module: AWS + Trainium + Anthropic. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0002,P0_expand_now,compute_gpu_asic,US,AVGO,Broadcom,US,美国资产池,D1-D2,Custom ASIC + networking + CPO,核心池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: AVGO Broadcom. Module: Custom ASIC + networking + CPO. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0043,P0_expand_now,compute_gpu_asic,US,CORZ,Core Scientific,US,美国资产池,D1-D4,AI hosting / power campuses,雷达/候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CORZ Core Scientific. Module: AI hosting / power campuses. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0009,P0_expand_now,compute_gpu_asic,US,CRWV,CoreWeave,US,美国资产池,D1-D4,NeoCloud / GPU-as-a-Service,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CRWV CoreWeave. Module: NeoCloud / GPU-as-a-Service. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0022,P0_expand_now,compute_gpu_asic,US,FORM,FormFactor,US,美国资产池,D3,Probe card,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: FORM FormFactor. Module: Probe card. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0007,P0_expand_now,compute_gpu_asic,US,GOOGL,Alphabet / Google,US,美国资产池,D0-D1,Gemini + TPU + GCP,核心beta,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: GOOGL Alphabet / Google. Module: Gemini + TPU + GCP. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0041,P0_expand_now,compute_gpu_asic,US,IREN,IREN,US,美国资产池,D1-D4,AI cloud + powered land from crypto mining,候选/雷达池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: IREN IREN. Module: AI cloud + powered land from crypto mining. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0011,P0_expand_now,compute_gpu_asic,US,META,Meta Platforms,US,美国资产池,D0-D1,Open-source frontier + AI products + internal infra,核心beta/需求验证,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: META Meta Platforms. Module: Open-source frontier + AI products + internal infra. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0004,P0_expand_now,compute_gpu_asic,US,MRVL,Marvell,US,美国资产池,D1-D3,Custom silicon + optical DSP + networking,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: MRVL Marvell. Module: Custom silicon + optical DSP + networking. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0005,P0_expand_now,compute_gpu_asic,US,MSFT,Microsoft,US,美国资产池,D0-D1,Azure + OpenAI demand aggregator,核心beta,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: MSFT Microsoft. Module: Azure + OpenAI demand aggregator. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0027,P0_expand_now,compute_gpu_asic,US,MU,Micron,US,美国资产池,D2,HBM + DRAM + eSSD,核心/候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: MU Micron. Module: HBM + DRAM + eSSD. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0010,P0_expand_now,compute_gpu_asic,US,NBIS,Nebius,US,美国资产池,D1-D4,NeoCloud / AI cloud,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: NBIS Nebius. Module: NeoCloud / AI cloud. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0001,P0_expand_now,compute_gpu_asic,US,NVDA,NVIDIA,US,美国资产池,D1,GPU/CUDA + networking + rack-scale systems,核心池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: NVDA NVIDIA. Module: GPU/CUDA + networking + rack-scale systems. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0008,P0_expand_now,compute_gpu_asic,US,ORCL,Oracle,US,美国资产池,D1,AI cloud / Stargate cloud capacity,候选池,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: ORCL Oracle. Module: AI cloud / Stargate cloud capacity. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0046,P0_expand_now,compute_gpu_asic,US,SNPS,Synopsys,US,美国资产池,D3,EDA/IP,核心beta/候选,"10-K/20-F, annual report, product roadmap, platform BOM, hyperscaler customer disclosures",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; GPU; accelerator; ASIC; chiplet; CoWoS; HBM; CUDA; TPU,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: SNPS Synopsys. Module: EDA/IP. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0014,P0_expand_now,hbm_memory_storage,US,ALAB,Astera Labs,US,美国资产池,D3,PCIe/CXL retimer + connectivity,候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: ALAB Astera Labs. Module: PCIe/CXL retimer + connectivity. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0144,P0_expand_now,hbm_memory_storage,US,CAMT,Camtek,以色列/US,卫星资产池,D3,Advanced packaging inspection,核心候选,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: CAMT Camtek. Module: Advanced packaging inspection. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
DISC-0031,P0_expand_now,hbm_memory_storage,US,NTAP,NetApp,US,美国资产池,D3-D4,Enterprise/data center storage,雷达/候选池,"annual report, quarterly earnings, HBM roadmap, capacity expansion, customer qualification notes",AI; accelerated computing; data center; hyperscale; HPC; customer; supplier; backlog; capacity; qualification; lead time; gross margin; capex; free cash flow; HBM3E; HBM4; server DRAM; enterprise SSD; QLC; CXL,"Find upstream suppliers, downstream customers, peer suppliers, equipment/material bottlenecks, and cross-disclosed companies that can be mapped into D1-D5 BFS with evidence status.","Seed: NTAP NetApp. Module: Enterprise/data center storage. Read primary filings/product pages and extract named customers, suppliers, equipment, materials, capacity constraints, backlog drivers, and direct competitors. Return only source-backed candidates or clearly mark pending verification."
